ruta_imagen,clase_predicha,confianza
External_Test/PNG\13051.png,Normal,0.9999
External_Test/PNG\13063.png,Bleeding,0.9956
External_Test/PNG\13065.png,Ischemia,0.9852
External_Test/PNG\13087.png,Ischemia,0.9995
External_Test/PNG\13137.png,Normal,0.995
External_Test/PNG\13179.png,Normal,0.9992
External_Test/PNG\13239.png,Ischemia,0.9998
External_Test/PNG\13241.png,Bleeding,0.9995
External_Test/PNG\13345.png,Normal,1.0
External_Test/PNG\13446.png,Normal,0.9924
External_Test/PNG\13447.png,Normal,0.8586
External_Test/PNG\13459.png,Normal,0.9979
External_Test/PNG\13477.png,Normal,0.968
External_Test/PNG\13497.png,Normal,0.9938
External_Test/PNG\13554.png,Normal,0.9999
External_Test/PNG\13579.png,Normal,0.9999
External_Test/PNG\13597.png,Normal,1.0
External_Test/PNG\13600.png,Normal,1.0
External_Test/PNG\13680.png,Normal,0.9995
External_Test/PNG\13708.png,Normal,0.9901
External_Test/PNG\13713.png,Normal,0.7178
External_Test/PNG\13729.png,Ischemia,0.997
External_Test/PNG\13731.png,Normal,0.9999
External_Test/PNG\13747.png,Normal,0.9998
External_Test/PNG\13769.png,Normal,0.9979
External_Test/PNG\13770.png,Normal,0.9997
External_Test/PNG\13887.png,Bleeding,1.0
External_Test/PNG\13893.png,Ischemia,0.9875
External_Test/PNG\13896.png,Normal,1.0
External_Test/PNG\14031.png,Bleeding,1.0
External_Test/PNG\14101.png,Bleeding,0.5671
External_Test/PNG\14153.png,Normal,0.9995
External_Test/PNG\14179.png,Normal,0.9997
External_Test/PNG\14183.png,Ischemia,0.9983
External_Test/PNG\14198.png,Normal,1.0
External_Test/PNG\14219.png,Bleeding,1.0
External_Test/PNG\14270.png,Bleeding,1.0
External_Test/PNG\14317.png,Normal,0.9999
External_Test/PNG\14321.png,Normal,0.9999
External_Test/PNG\14343.png,Bleeding,1.0
External_Test/PNG\14438.png,Ischemia,1.0
External_Test/PNG\14503.png,Normal,0.9999
External_Test/PNG\14522.png,Normal,0.969
External_Test/PNG\14549.png,Bleeding,0.9906
External_Test/PNG\14561.png,Normal,1.0
External_Test/PNG\14600.png,Normal,1.0
External_Test/PNG\14606.png,Normal,0.9999
External_Test/PNG\14621.png,Normal,0.9898
External_Test/PNG\14638.png,Normal,1.0
External_Test/PNG\14687.png,Normal,0.9826
External_Test/PNG\14783.png,Ischemia,1.0
External_Test/PNG\14798.png,Normal,1.0
External_Test/PNG\14839.png,Bleeding,1.0
External_Test/PNG\14892.png,Normal,0.9957
External_Test/PNG\14941.png,Normal,0.9999
External_Test/PNG\14970.png,Normal,0.9999
External_Test/PNG\15028.png,Normal,0.9999
External_Test/PNG\15038.png,Normal,0.9992
External_Test/PNG\15190.png,Normal,1.0
External_Test/PNG\15245.png,Normal,1.0
External_Test/PNG\15268.png,Normal,0.9612
External_Test/PNG\15279.png,Normal,0.9186
External_Test/PNG\15300.png,Normal,0.9803
External_Test/PNG\15325.png,Bleeding,0.9995
External_Test/PNG\15363.png,Ischemia,0.9999
External_Test/PNG\15405.png,Normal,0.5568
External_Test/PNG\15464.png,Normal,0.9637
External_Test/PNG\15517.png,Normal,0.6728
External_Test/PNG\15532.png,Normal,0.9996
External_Test/PNG\15550.png,Normal,0.8888
External_Test/PNG\15562.png,Ischemia,0.8165
External_Test/PNG\15564.png,Normal,0.7878
External_Test/PNG\15614.png,Normal,1.0
External_Test/PNG\15618.png,Normal,1.0
External_Test/PNG\15622.png,Ischemia,0.9982
External_Test/PNG\15655.png,Normal,0.9992
External_Test/PNG\15708.png,Bleeding,0.9996
External_Test/PNG\15785.png,Normal,0.9998
External_Test/PNG\15868.png,Normal,0.9999
External_Test/PNG\15876.png,Ischemia,0.9968
External_Test/PNG\15948.png,Bleeding,0.8069
External_Test/PNG\15957.png,Normal,0.9972
External_Test/PNG\15967.png,Normal,1.0
External_Test/PNG\15982.png,Normal,0.9999
External_Test/PNG\16006.png,Normal,1.0
External_Test/PNG\16023.png,Normal,1.0
External_Test/PNG\16026.png,Ischemia,1.0
External_Test/PNG\16039.png,Ischemia,0.5823
External_Test/PNG\16048.png,Ischemia,0.864
External_Test/PNG\16057.png,Normal,0.9999
External_Test/PNG\16061.png,Normal,1.0
External_Test/PNG\16116.png,Bleeding,1.0
External_Test/PNG\16167.png,Normal,0.9994
External_Test/PNG\16257.png,Normal,0.9317
External_Test/PNG\16263.png,Normal,0.9998
External_Test/PNG\16340.png,Normal,0.994
External_Test/PNG\16341.png,Normal,1.0
External_Test/PNG\16358.png,Normal,1.0
External_Test/PNG\16367.png,Normal,1.0
External_Test/PNG\16387.png,Bleeding,1.0
External_Test/PNG\16411.png,Normal,1.0
External_Test/PNG\16426.png,Bleeding,0.9939
External_Test/PNG\16473.png,Normal,0.9995
External_Test/PNG\16478.png,Ischemia,0.9999
External_Test/PNG\16493.png,Normal,0.8546
External_Test/PNG\16499.png,Normal,1.0
External_Test/PNG\16524.png,Normal,0.9851
External_Test/PNG\16569.png,Normal,0.9939
External_Test/PNG\16607.png,Ischemia,1.0
External_Test/PNG\16643.png,Ischemia,0.9999
External_Test/PNG\16728.png,Normal,0.9999
External_Test/PNG\16749.png,Normal,1.0
External_Test/PNG\16760.png,Ischemia,0.7078
External_Test/PNG\16798.png,Normal,0.8239
External_Test/PNG\16846.png,Normal,0.9999
External_Test/PNG\16902.png,Normal,1.0
External_Test/PNG\16921.png,Normal,1.0
External_Test/PNG\16953.png,Bleeding,0.9997
External_Test/PNG\16969.png,Normal,1.0
External_Test/PNG\17002.png,Normal,1.0
External_Test/PNG\17014.png,Bleeding,1.0
External_Test/PNG\17017.png,Ischemia,0.9999
External_Test/PNG\17023.png,Bleeding,0.9996
